Tx-Block ID,Timestamp,Sender,Receiver
TB_FN6_613180,,,
,613.1800, FN6,['FN1']
,613.1805, FN6, FN1
,613.1805, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,613.1809, FN1, FN12
,613.1809, FN1, FN10
,613.1816, FN1, FN0
,613.1816, FN1, FN13
,613.1816, FN13,['FN1']
,613.1823, FN13, FN1
,613.1823, FN1 (shard node),[]
,613.1823, FN1,['FN6']
,613.1835, FN1, FN6
,613.1835,[voted block], FN6 (Leader)
TB_FN6_773140,,,
,773.1400, FN6,['FN1']
,773.1406, FN6, FN1
,773.1406, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,773.1407, FN1, FN12
,773.1408, FN1, FN10
,773.1413, FN1, FN13
,773.1416, FN1, FN0
,773.1416, FN0,['FN1']
,773.1422, FN0, FN1
,773.1422, FN1 (shard node),[]
,773.1422, FN1,['FN6']
,773.1433, FN1, FN6
,773.1433,[voted block], FN6 (Leader)
TB_FN6_453220,,,
,453.2200, FN6,['FN1']
,453.2206, FN6, FN1
,453.2206, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,453.2210, FN1, FN12
,453.2210, FN1, FN10
,453.2214, FN1, FN0
,453.2217, FN1, FN13
,453.2217, FN13,['FN1']
,453.2223, FN13, FN1
,453.2223, FN1 (shard node),[]
,453.2223, FN1,['FN6']
,453.2230, FN1, FN6
,453.2230,[voted block], FN6 (Leader)
TB_FN6_719820,,,
,719.8200, FN6,['FN1']
,719.8205, FN6, FN1
,719.8205, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,719.8208, FN1, FN10
,719.8211, FN1, FN12
,719.8216, FN1, FN13
,719.8218, FN1, FN0
,719.8218, FN0,['FN1']
,719.8223, FN0, FN1
,719.8223, FN1 (shard node),[]
,719.8223, FN1,['FN6']
,719.8231, FN1, FN6
,719.8231,[voted block], FN6 (Leader)
TB_FN6_506540,,,
,506.5400, FN6,['FN1']
,506.5405, FN6, FN1
,506.5405, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,506.5412, FN1, FN12
,506.5412, FN1, FN10
,506.5413, FN1, FN13
,506.5414, FN1, FN0
,506.5414, FN0,['FN1']
,506.5417, FN0, FN1
,506.5417, FN1 (shard node),[]
,506.5417, FN1,['FN6']
,506.5430, FN1, FN6
,506.5430,[voted block], FN6 (Leader)
TB_FN6_666500,,,
,666.5000, FN6,['FN1']
,666.5006, FN6, FN1
,666.5006, FN1,"['FN13', 'FN0', 'FN12', 'FN10']"
,666.5008, FN1, FN12
,666.5015, FN1, FN10
,666.5016, FN1, FN0
,666.5020, FN1, FN13
,666.5020, FN13,['FN1']
,666.5025, FN13, FN1
,666.5025, FN1 (shard node),[]
,666.5025, FN1,['FN6']
,666.5036, FN1, FN6
