+---------------+-----------+-----------------------------------------------------------------+---------------------------------+
|  Tx-Block ID  | Timestamp |                              Sender                             |             Receiver            |
+---------------+-----------+-----------------------------------------------------------------+---------------------------------+
| TB_FN6_399900 |           |                                                                 |                                 |
|               |  399.9000 |                             Node FN6                            |             ['FN1']             |
|               |  399.9004 |                                FN6                              |                FN1              |
|               |  399.9004 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  399.9010 |                                FN1                              |               FN12              |
|               |  399.9011 |                                FN1                              |               FN10              |
|               |  399.9013 |                                FN1                              |                FN0              |
|               |  399.9015 |                                FN1                              |               FN13              |
|               |  399.9015 |                            Node FN13                            |             ['FN1']             |
|               |  399.9020 |                               FN13                              |                FN1              |
|               |  399.9020 |                      Node FN1 (shard node)                      |                []               |
|               |  399.9020 |                             Node FN1                            |             ['FN6']             |
|               |  399.9030 |                                FN1                              |                FN6              |
|               |  399.9030 | .9030 : Node FN6 (Leader) received voted Tx-block TB_FN6_399900 |         Node FN6 (Leader)       |
|  TB_FN6_79980 |           |                                                                 |                                 |
|               |  79.9800  |                             Node FN6                            |             ['FN1']             |
|               |  79.9807  |                                FN6                              |                FN1              |
|               |  79.9807  |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  79.9811  |                                FN1                              |               FN13              |
|               |  79.9811  |                                FN1                              |               FN10              |
|               |  79.9814  |                                FN1                              |               FN12              |
|               |  79.9816  |                                FN1                              |                FN0              |
|               |  79.9816  |                             Node FN0                            |             ['FN1']             |
|               |  79.9822  |                                FN0                              |                FN1              |
|               |  79.9822  |                      Node FN1 (shard node)                      |                []               |
|               |  79.9822  |                             Node FN1                            |             ['FN6']             |
|               |  79.9832  |                                FN1                              |                FN6              |
|               |  79.9832  |  9832 : Node FN6 (Leader) received voted Tx-block TB_FN6_79980  |         Node FN6 (Leader)       |
| TB_FN6_773140 |           |                                                                 |                                 |
|               |  773.1400 |                             Node FN6                            |             ['FN1']             |
|               |  773.1406 |                                FN6                              |                FN1              |
|               |  773.1406 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  773.1410 |                                FN1                              |               FN10              |
|               |  773.1411 |                                FN1                              |               FN12              |
|               |  773.1414 |                                FN1                              |                FN0              |
|               |  773.1416 |                                FN1                              |               FN13              |
|               |  773.1416 |                            Node FN13                            |             ['FN1']             |
|               |  773.1420 |                               FN13                              |                FN1              |
|               |  773.1420 |                      Node FN1 (shard node)                      |                []               |
|               |  773.1420 |                             Node FN1                            |             ['FN6']             |
|               |  773.1431 |                                FN1                              |                FN6              |
|               |  773.1431 | .1431 : Node FN6 (Leader) received voted Tx-block TB_FN6_773140 |         Node FN6 (Leader)       |
| TB_FN6_239940 |           |                                                                 |                                 |
|               |  239.9400 |                             Node FN6                            |             ['FN1']             |
|               |  239.9407 |                                FN6                              |                FN1              |
|               |  239.9407 |                             Node FN1                            | ['FN10', 'FN13', 'FN12', 'FN0'] |
|               |  239.9410 |                                FN1                              |               FN12              |
|               |  239.9413 |                                FN1                              |               FN10              |
|               |  239.9417 |                                FN1                              |               FN13              |
|               |  239.9417 |                                FN1                              |                FN0              |
|               |  239.9417 |                             Node FN0                            |             ['FN1']             |
|               |  239.9423 |                                FN0                              |                FN1              |
|               |  239.9423 |                      Node FN1 (shard node)                      |                []               |
|               |  239.9423 |                             Node FN1                            |             ['FN6']             |
|               |  239.9434 |                                FN1                              |                FN6              |
|               |  239.9434 | .9434 : Node FN6 (Leader) received voted Tx-block TB_FN6_239940 |         Node FN6 (Leader)       |
| TB_FN6_346580 |           |                                                                 |                                 |
|               |  346.5800 |                             Node FN6                            |             ['FN1']             |
